날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 09월,강서구,가양3동,한식>곱창전골/구이,I20109,"1,449,500원",64건
2023년 09월,강서구,발산1동,한식>곱창전골/구이,I20109,"5,261,888원",214건
2023년 09월,강서구,우장산동,한식>곱창전골/구이,I20109,"6,076,143원",241건
2023년 09월,강서구,화곡6동,한식>곱창전골/구이,I20109,"7,862,845원",312건
2023년 09월,강서구,등촌1동,한식>곱창전골/구이,I20109,"5,635,228원",178건
2023년 09월,강서구,염창동,한식>곱창전골/구이,I20109,"1,132,750원",41건
2023년 09월,강서구,등촌2동,한식>곱창전골/구이,I20109,"5,635,228원",178건
2023년 09월,강서구,화곡3동,한식>곱창전골/구이,I20109,"7,862,845원",312건
2023년 09월,강서구,화곡본동,한식>곱창전골/구이,I20109,"7,862,845원",312건
2023년 09월,강서구,화곡1동,한식>곱창전골/구이,I20109,"7,862,845원",312건
2023년 09월,강서구,화곡4동,한식>곱창전골/구이,I20109,"7,862,845원",312건
2023년 09월,강서구,화곡8동,한식>곱창전골/구이,I20109,"7,862,845원",312건
2023년 09월,강서구,화곡2동,한식>곱창전골/구이,I20109,"7,862,845원",312건
2023년 08월,강서구,방화2동,한식>곱창전골/구이,I20109,"4,074,510원",158건
2023년 08월,강서구,방화1동,한식>곱창전골/구이,I20109,"6,035,767원",229건
2023년 08월,강서구,가양1동,한식>곱창전골/구이,I20109,"4,684,378원",171건
2023년 08월,강서구,공항동,한식>곱창전골/구이,I20109,"6,035,767원",229건
2023년 08월,강서구,가양2동,한식>곱창전골/구이,I20109,"1,866,400원",73건
2023년 08월,강서구,등촌3동,한식>곱창전골/구이,I20109,"5,580,043원",172건
2023년 08월,강서구,가양3동,한식>곱창전골/구이,I20109,"1,866,400원",73건
2023년 08월,강서구,발산1동,한식>곱창전골/구이,I20109,"5,404,825원",218건
2023년 08월,강서구,우장산동,한식>곱창전골/구이,I20109,"6,244,992원",246건
2023년 08월,강서구,화곡6동,한식>곱창전골/구이,I20109,"8,287,025원",326건
2023년 08월,강서구,등촌1동,한식>곱창전골/구이,I20109,"5,580,043원",172건
2023년 08월,강서구,염창동,한식>곱창전골/구이,I20109,"1,418,200원",45건
2023년 08월,강서구,등촌2동,한식>곱창전골/구이,I20109,"5,580,043원",172건
2023년 08월,강서구,화곡3동,한식>곱창전골/구이,I20109,"8,287,025원",326건
2023년 08월,강서구,화곡본동,한식>곱창전골/구이,I20109,"8,287,025원",326건
2023년 08월,강서구,화곡1동,한식>곱창전골/구이,I20109,"8,287,025원",326건
2023년 08월,강서구,화곡4동,한식>곱창전골/구이,I20109,"8,287,025원",326건
2023년 08월,강서구,화곡8동,한식>곱창전골/구이,I20109,"8,287,025원",326건
2023년 08월,강서구,화곡2동,한식>곱창전골/구이,I20109,"8,287,025원",326건
2023년 07월,강서구,방화2동,한식>곱창전골/구이,I20109,"4,109,957원",161건
2023년 07월,강서구,방화1동,한식>곱창전골/구이,I20109,"5,831,012원",220건
2023년 07월,강서구,가양1동,한식>곱창전골/구이,I20109,"4,378,766원",158건
2023년 07월,강서구,공항동,한식>곱창전골/구이,I20109,"5,831,012원",220건
2023년 07월,강서구,가양2동,한식>곱창전골/구이,I20109,"1,707,500원",67건
2023년 07월,강서구,등촌3동,한식>곱창전골/구이,I20109,"5,346,922원",164건
2023년 07월,강서구,가양3동,한식>곱창전골/구이,I20109,"1,707,500원",67건
2023년 07월,강서구,발산1동,한식>곱창전골/구이,I20109,"5,384,180원",214건
2023년 07월,강서구,우장산동,한식>곱창전골/구이,I20109,"6,497,243원",255건
2023년 07월,강서구,화곡6동,한식>곱창전골/구이,I20109,"8,308,002원",324건
2023년 07월,강서구,등촌1동,한식>곱창전골/구이,I20109,"5,346,922원",164건
2023년 07월,강서구,염창동,한식>곱창전골/구이,I20109,"1,271,750원",43건
2023년 07월,강서구,등촌2동,한식>곱창전골/구이,I20109,"5,346,922원",164건
2023년 07월,강서구,화곡3동,한식>곱창전골/구이,I20109,"8,308,002원",324건
2023년 07월,강서구,화곡본동,한식>곱창전골/구이,I20109,"8,308,002원",324건
2023년 07월,강서구,화곡1동,한식>곱창전골/구이,I20109,"8,308,002원",324건
2023년 07월,강서구,화곡4동,한식>곱창전골/구이,I20109,"8,308,002원",324건
2023년 07월,강서구,화곡8동,한식>곱창전골/구이,I20109,"8,308,002원",324건
2023년 07월,강서구,화곡2동,한식>곱창전골/구이,I20109,"8,308,002원",324건
2023년 06월,강서구,방화2동,한식>곱창전골/구이,I20109,"4,236,089원",167건
2023년 06월,강서구,방화1동,한식>곱창전골/구이,I20109,"5,022,948원",192건
2023년 06월,강서구,가양1동,한식>곱창전골/구이,I20109,"3,883,814원",146건
2023년 06월,강서구,공항동,한식>곱창전골/구이,I20109,"5,022,948원",192건
