날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 09월,강서구,화곡3동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡본동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡1동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡4동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡8동,기타간이>버거,I21004,"8,601,429원",462건
2023년 09월,강서구,화곡2동,기타간이>버거,I21004,"8,601,429원",462건
2023년 08월,강서구,방화2동,기타간이>버거,I21004,"5,991,517원",331건
2023년 08월,강서구,방화1동,기타간이>버거,I21004,"12,792,151원",683건
2023년 08월,강서구,가양1동,기타간이>버거,I21004,"6,139,001원",321건
2023년 08월,강서구,공항동,기타간이>버거,I21004,"12,792,151원",683건
2023년 08월,강서구,가양2동,기타간이>버거,I21004,"3,739,925원",194건
2023년 08월,강서구,등촌3동,기타간이>버거,I21004,"7,146,017원",393건
2023년 08월,강서구,가양3동,기타간이>버거,I21004,"3,739,925원",194건
2023년 08월,강서구,발산1동,기타간이>버거,I21004,"7,107,113원",360건
2023년 08월,강서구,우장산동,기타간이>버거,I21004,"7,943,672원",421건
2023년 08월,강서구,등촌1동,기타간이>버거,I21004,"7,146,017원",393건
2023년 08월,강서구,염창동,기타간이>버거,I21004,"6,133,443원",305건
2023년 08월,강서구,화곡6동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,등촌2동,기타간이>버거,I21004,"7,146,017원",393건
2023년 08월,강서구,화곡3동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,화곡본동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,화곡1동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,화곡4동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,화곡8동,기타간이>버거,I21004,"9,204,182원",497건
2023년 08월,강서구,화곡2동,기타간이>버거,I21004,"9,204,182원",497건
2023년 07월,강서구,방화2동,기타간이>버거,I21004,"6,730,594원",365건
2023년 07월,강서구,방화1동,기타간이>버거,I21004,"13,828,831원",733건
2023년 07월,강서구,가양1동,기타간이>버거,I21004,"6,245,623원",325건
2023년 07월,강서구,공항동,기타간이>버거,I21004,"13,828,831원",733건
2023년 07월,강서구,가양2동,기타간이>버거,I21004,"3,845,725원",198건
2023년 07월,강서구,등촌3동,기타간이>버거,I21004,"7,374,747원",405건
2023년 07월,강서구,가양3동,기타간이>버거,I21004,"3,845,725원",198건
2023년 07월,강서구,발산1동,기타간이>버거,I21004,"6,953,499원",348건
2023년 07월,강서구,우장산동,기타간이>버거,I21004,"7,945,143원",413건
2023년 07월,강서구,등촌1동,기타간이>버거,I21004,"7,374,747원",405건
2023년 07월,강서구,염창동,기타간이>버거,I21004,"6,038,103원",299건
2023년 07월,강서구,화곡6동,기타간이>버거,I21004,"9,499,686원",502건
2023년 07월,강서구,등촌2동,기타간이>버거,I21004,"7,374,747원",405건
2023년 07월,강서구,화곡3동,기타간이>버거,I21004,"9,499,686원",502건
2023년 07월,강서구,화곡본동,기타간이>버거,I21004,"9,499,686원",502건
2023년 07월,강서구,화곡1동,기타간이>버거,I21004,"9,499,686원",502건
2023년 07월,강서구,화곡4동,기타간이>버거,I21004,"9,499,686원",502건
2023년 07월,강서구,화곡8동,기타간이>버거,I21004,"9,499,686원",502건
2023년 07월,강서구,화곡2동,기타간이>버거,I21004,"9,499,686원",502건
2023년 06월,강서구,방화2동,기타간이>버거,I21004,"4,810,358원",270건
2023년 06월,강서구,방화1동,기타간이>버거,I21004,"11,715,749원",642건
2023년 06월,강서구,가양1동,기타간이>버거,I21004,"5,810,547원",309건
2023년 06월,강서구,공항동,기타간이>버거,I21004,"11,715,749원",642건
2023년 06월,강서구,가양2동,기타간이>버거,I21004,"3,936,775원",211건
2023년 06월,강서구,등촌3동,기타간이>버거,I21004,"6,421,228원",362건
2023년 06월,강서구,가양3동,기타간이>버거,I21004,"3,936,775원",211건
2023년 06월,강서구,발산1동,기타간이>버거,I21004,"6,297,731원",319건
2023년 06월,강서구,우장산동,기타간이>버거,I21004,"7,165,913원",381건
2023년 06월,강서구,등촌1동,기타간이>버거,I21004,"6,421,228원",362건
2023년 06월,강서구,염창동,기타간이>버거,I21004,"5,766,663원",296건
2023년 06월,강서구,화곡6동,기타간이>버거,I21004,"8,810,002원",475건
2023년 06월,강서구,등촌2동,기타간이>버거,I21004,"6,421,228원",362건
2023년 06월,강서구,화곡3동,기타간이>버거,I21004,"8,810,002원",475건
2023년 06월,강서구,화곡본동,기타간이>버거,I21004,"8,810,002원",475건
2023년 06월,강서구,화곡1동,기타간이>버거,I21004,"8,810,002원",475건
2023년 06월,강서구,화곡4동,기타간이>버거,I21004,"8,810,002원",475건
2023년 06월,강서구,화곡8동,기타간이>버거,I21004,"8,810,002원",475건
2023년 06월,강서구,화곡2동,기타간이>버거,I21004,"8,810,002원",475건
2023년 05월,강서구,방화2동,기타간이>버거,I21004,"5,130,918원",286건
2023년 05월,강서구,방화1동,기타간이>버거,I21004,"12,474,264원",680건
2023년 05월,강서구,가양1동,기타간이>버거,I21004,"5,596,908원",303건
2023년 05월,강서구,공항동,기타간이>버거,I21004,"12,474,264원",680건
2023년 05월,강서구,가양2동,기타간이>버거,I21004,"2,690,350원",149건
2023년 05월,강서구,등촌3동,기타간이>버거,I21004,"7,112,201원",402건
2023년 05월,강서구,가양3동,기타간이>버거,I21004,"2,690,350원",149건
2023년 05월,강서구,발산1동,기타간이>버거,I21004,"6,003,002원",305건
2023년 05월,강서구,우장산동,기타간이>버거,I21004,"7,427,189원",399건
2023년 05월,강서구,등촌1동,기타간이>버거,I21004,"7,112,201원",402건
2023년 05월,강서구,염창동,기타간이>버거,I21004,"5,416,826원",286건
2023년 05월,강서구,화곡6동,기타간이>버거,I21004,"9,836,547원",543건
2023년 05월,강서구,등촌2동,기타간이>버거,I21004,"7,112,201원",402건
2023년 05월,강서구,화곡3동,기타간이>버거,I21004,"9,836,547원",543건
2023년 05월,강서구,화곡본동,기타간이>버거,I21004,"9,836,547원",543건
2023년 05월,강서구,화곡1동,기타간이>버거,I21004,"9,836,547원",543건
2023년 05월,강서구,화곡4동,기타간이>버거,I21004,"9,836,547원",543건
2023년 05월,강서구,화곡8동,기타간이>버거,I21004,"9,836,547원",543건
2023년 05월,강서구,화곡2동,기타간이>버거,I21004,"9,836,547원",543건
2023년 04월,강서구,방화2동,기타간이>버거,I21004,"4,508,544원",247건
2023년 04월,강서구,방화1동,기타간이>버거,I21004,"12,286,789원",670건
2023년 04월,강서구,가양1동,기타간이>버거,I21004,"5,705,399원",303건
2023년 04월,강서구,공항동,기타간이>버거,I21004,"12,286,789원",670건
2023년 04월,강서구,가양2동,기타간이>버거,I21004,"2,554,775원",148건
