날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 08월,강서구,방화2동,중식>중국집,I20201,"10,860,011원",420건
2023년 08월,강서구,방화1동,중식>중국집,I20201,"8,973,407원",364건
2023년 08월,강서구,가양1동,중식>중국집,I20201,"7,898,952원",320건
2023년 08월,강서구,공항동,중식>중국집,I20201,"8,973,407원",364건
2023년 08월,강서구,가양2동,중식>중국집,I20201,"6,947,083원",280건
2023년 08월,강서구,등촌3동,중식>중국집,I20201,"8,634,315원",360건
2023년 08월,강서구,가양3동,중식>중국집,I20201,"6,947,083원",280건
2023년 08월,강서구,염창동,중식>중국집,I20201,"6,892,142원",268건
2023년 08월,강서구,발산1동,중식>중국집,I20201,"6,512,564원",263건
2023년 08월,강서구,우장산동,중식>중국집,I20201,"8,119,915원",348건
2023년 08월,강서구,등촌1동,중식>중국집,I20201,"8,634,315원",360건
2023년 08월,강서구,화곡6동,중식>중국집,I20201,"11,330,162원",489건
2023년 08월,강서구,화곡3동,중식>중국집,I20201,"11,330,162원",489건
2023년 08월,강서구,화곡본동,중식>중국집,I20201,"11,330,162원",489건
2023년 08월,강서구,등촌2동,중식>중국집,I20201,"8,634,315원",360건
2023년 08월,강서구,화곡1동,중식>중국집,I20201,"11,330,162원",489건
2023년 08월,강서구,화곡4동,중식>중국집,I20201,"11,330,162원",489건
2023년 08월,강서구,화곡8동,중식>중국집,I20201,"11,330,162원",489건
2023년 07월,강서구,방화2동,중식>중국집,I20201,"10,489,595원",411건
2023년 07월,강서구,방화1동,중식>중국집,I20201,"8,893,857원",367건
2023년 07월,강서구,가양1동,중식>중국집,I20201,"7,859,565원",321건
2023년 07월,강서구,공항동,중식>중국집,I20201,"8,893,857원",367건
2023년 07월,강서구,가양2동,중식>중국집,I20201,"7,918,167원",329건
2023년 07월,강서구,등촌3동,중식>중국집,I20201,"8,318,383원",347건
2023년 07월,강서구,가양3동,중식>중국집,I20201,"7,918,167원",329건
2023년 07월,강서구,염창동,중식>중국집,I20201,"7,404,793원",293건
2023년 07월,강서구,발산1동,중식>중국집,I20201,"6,209,428원",249건
2023년 07월,강서구,우장산동,중식>중국집,I20201,"8,515,729원",362건
2023년 07월,강서구,등촌1동,중식>중국집,I20201,"8,318,383원",347건
2023년 07월,강서구,화곡6동,중식>중국집,I20201,"11,954,747원",512건
2023년 07월,강서구,화곡3동,중식>중국집,I20201,"11,954,747원",512건
2023년 07월,강서구,화곡본동,중식>중국집,I20201,"11,954,747원",512건
2023년 07월,강서구,등촌2동,중식>중국집,I20201,"8,318,383원",347건
2023년 07월,강서구,화곡1동,중식>중국집,I20201,"11,954,747원",512건
2023년 07월,강서구,화곡4동,중식>중국집,I20201,"11,954,747원",512건
2023년 07월,강서구,화곡8동,중식>중국집,I20201,"11,954,747원",512건
2023년 06월,강서구,방화2동,중식>중국집,I20201,"9,182,428원",368건
2023년 06월,강서구,방화1동,중식>중국집,I20201,"8,104,920원",339건
2023년 06월,강서구,가양1동,중식>중국집,I20201,"6,936,931원",293건
2023년 06월,강서구,공항동,중식>중국집,I20201,"8,104,920원",339건
2023년 06월,강서구,가양2동,중식>중국집,I20201,"6,704,917원",282건
2023년 06월,강서구,등촌3동,중식>중국집,I20201,"7,312,793원",319건
2023년 06월,강서구,가양3동,중식>중국집,I20201,"6,704,917원",282건
2023년 06월,강서구,염창동,중식>중국집,I20201,"6,322,928원",254건
2023년 06월,강서구,발산1동,중식>중국집,I20201,"5,029,460원",211건
2023년 06월,강서구,우장산동,중식>중국집,I20201,"7,346,540원",323건
2023년 06월,강서구,등촌1동,중식>중국집,I20201,"7,312,793원",319건
2023년 06월,강서구,화곡6동,중식>중국집,I20201,"11,427,242원",501건
2023년 06월,강서구,화곡3동,중식>중국집,I20201,"11,427,242원",501건
2023년 06월,강서구,화곡본동,중식>중국집,I20201,"11,427,242원",501건
2023년 06월,강서구,등촌2동,중식>중국집,I20201,"7,312,793원",319건
2023년 06월,강서구,화곡1동,중식>중국집,I20201,"11,427,242원",501건
2023년 06월,강서구,화곡4동,중식>중국집,I20201,"11,427,242원",501건
2023년 06월,강서구,화곡8동,중식>중국집,I20201,"11,427,242원",501건
2023년 05월,강서구,방화2동,중식>중국집,I20201,"9,859,563원",397건
2023년 05월,강서구,방화1동,중식>중국집,I20201,"8,941,991원",378건
2023년 05월,강서구,가양1동,중식>중국집,I20201,"7,873,396원",328건
