자치구명,총_가구_수,1인_가구_수,점포_수,폐업_점포_수,1인가구_비중,1인가구비중_증가율,폐업_증가율,sh_closure_growth_ratio
강남구,941347.5,75410.83333333333,983.0049019607844,2548.8333333333335,0.08007906634653679,0.02959793262527677,-0.013975498986924332,-0.4483619796044523
강동구,784400.5,60648.0,447.21813725490193,1198.0,0.07715596782168838,0.04726200236082386,-0.008171701923056218,0.19048092915967274
강북구,578917.5,51063.833333333336,314.31617647058823,883.0,0.08822834689020592,0.04193361517222349,-0.0030288218239763833,-0.3207720022877731
강서구,1074270.5,100265.83333333333,601.2671568627451,1705.5,0.09325983396397645,0.0443145474838349,0.02859010674966535,0.13037085254681471
관악구,1107519.5,145298.33333333334,464.0857843137255,1350.8333333333333,0.13109239190273408,0.03263467834190851,0.01184192918400708,-3.6481233392800037
광진구,670888.5,69440.66666666667,415.41911764705884,1107.8333333333333,0.1034568950528394,0.03125463355470962,0.0075799189460313094,1.1558636356189151
구로구,722470.0,58808.666666666664,420.86274509803917,1066.5,0.08132172086470665,0.0375649969966344,-0.003449593832829445,0.547771005993274
금천구,463702.0,50221.166666666664,326.5416666666667,799.5,0.10814282821679638,0.047685495989182924,0.01527905995742677,4.07864240847979
노원구,871924.5,63618.166666666664,373.0147058823529,943.0,0.07296355439575099,0.04261803487776983,-0.011968437595972695,-0.4162675232163036
도봉구,553410.0,40433.666666666664,253.13235294117646,628.1666666666666,0.07306561898280184,0.05472219868994188,-0.004854294475304092,0.03693912605215266
동대문구,673455.0,68579.33333333333,469.5735294117647,1069.1666666666667,0.10175220150427616,0.028140261606596623,-0.0005369721736290615,-8.143692522130966
동작구,738044.0,71594.16666666667,392.70588235294116,897.6666666666666,0.09696799744311456,0.03040532022411835,-0.014119789003940286,-2.4572107912270047
마포구,699258.5,70060.83333333333,711.2843137254903,1954.6666666666667,0.1002649625401101,0.024243114664820247,0.007876321956411414,2.2629205435012367
서대문구,578445.5,54543.166666666664,350.76225490196083,872.1666666666666,0.09425278392795335,0.02522825085851166,-0.0008102000631801479,-0.21636257254892843
서초구,685403.5,47493.166666666664,595.1348039215686,1282.8333333333333,0.06931465308612571,0.02982863593776604,-0.03509598995435478,-2.484920152759648
성동구,538222.5,46567.833333333336,458.0,962.8333333333334,0.08656330753404023,0.03163498028096986,0.012766255254974046,-1.6305973167541439
성북구,775910.0,67404.0,375.6740196078431,921.8333333333334,0.08683011690982477,0.025211950360478703,-0.013035484921205487,-1.7858033855583886
송파구,1130679.0,84110.83333333333,898.5122549019608,1980.8333333333333,0.07435133106809542,0.040722937544608796,0.016969936770824146,0.04865179371164149
양천구,720151.5,45263.666666666664,341.42892156862746,924.5,0.06283531608801383,0.04483565153944654,-0.006195335765939947,-1.0541515320560997
영등포구,739182.0,74484.0,618.6764705882352,1472.5,0.10063115387891496,0.038074647415061356,-0.006840748475961019,-2.8042770090843523
용산구,441062.0,39836.833333333336,387.375,860.1666666666666,0.09032313195578066,0.015393513235377465,-0.010260990710653542,-0.9967240922174841
은평구,853439.0,66302.66666666667,390.07107843137254,1086.3333333333333,0.07763448061769453,0.044507968304353364,0.0007673064816329234,-0.2613800981045125
종로구,294078.5,28509.833333333332,485.6397058823529,1018.0,0.09704056196679804,0.03813615210020763,-0.028521543354323924,-1.2710323168039368
중구,254173.0,26588.166666666668,520.2745098039215,1029.6666666666667,0.10450473012101057,0.03627385017034653,-0.002048453776551181,-2.7460956085223365
중랑구,743477.5,64824.666666666664,366.65196078431376,967.1666666666666,0.08713546410132487,0.04608550059195904,0.007978349677712345,0.10558596250767094
