기준년도,자치구명,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,전체점포수,프랜차이즈비율(%),sh_closure_growth_ratio
2023,종로구,272436494,29528380,51913155,43368857,43806909,44659274,59159920,219002,1977,39118,64695,61631,38106,13476,28973.0,14.74,-1.2710323168039368
2023,중구,239052730,19960674,40341498,48320558,43556575,38844410,48029014,407205,1188,87944,129004,101678,65103,22288,27269.0,19.08,-2.7460956085223365
2023,용산구,254500974,30700316,40578841,51492506,44874375,36523499,50331434,146010,236,31585,44408,37627,24464,7691,23049.0,14.2,-0.996724092217484
2023,성동구,294579622,39139332,52207046,53447463,48188761,42800099,58796927,64956,81,10816,15978,15748,13809,8525,20986.0,18.61,-1.630597316754144
2023,광진구,369607571,54841845,71702235,62122695,56089707,52590030,72261056,48716,63,7406,10156,12083,12923,6086,23659.0,21.16,1.1558636356189151
2023,동대문구,424754033,55943193,89352804,60875600,61923866,59559268,97099299,51933,0,7670,11485,12356,11873,8548,22123.0,18.75,-8.143692522130966
2023,중랑구,389600260,54280184,51340092,60675921,58591448,64709343,100003275,20282,0,2010,4212,5443,5585,3032,19547.0,19.3,0.1055859625076709
2023,성북구,479406889,84278163,83543439,65228574,71706767,70052885,104597061,60001,246,7374,14500,16983,15249,5648,20940.0,21.38,-1.7858033855583886
2023,강북구,383042931,54473584,53883791,49107454,56900999,62426072,106251031,15844,0,1124,2680,3967,4599,3474,17278.0,18.38,-0.3207720022877731
2023,도봉구,254734419,40130394,30483633,32977431,37415454,41507059,72220446,19666,0,1980,3932,4970,5316,3467,13178.0,19.62,0.0369391260521526
2023,노원구,383070443,70145004,52933509,46243661,57276223,59946989,96525055,29625,0,3477,5822,7177,7843,5307,20460.0,25.37,-0.4162675232163036
2023,은평구,396012468,63659519,50998434,59537384,64231388,60717474,96868269,29574,0,3116,6101,7380,7306,5671,21485.0,20.81,-0.2613800981045125
2023,서대문구,378980450,53370771,72114703,62465321,62490086,54067908,74471660,35865,0,4408,7822,8727,10219,4689,19513.0,20.25,-0.2163625725489284
2023,마포구,463013119,63433867,94597473,90444207,78763479,59338545,76435549,106356,38,20514,28940,26038,19569,11257,43453.0,15.98,2.2629205435012367
2023,양천구,309438362,65772445,34568855,42409600,52160825,46680795,67845840,73501,86,11318,18467,18282,15922,9426,18439.0,24.05,-1.0541515320560997
2023,강서구,455000174,72862948,62257530,83048765,75583677,61373508,99873744,59950,3,7855,13992,14863,14494,8745,31765.0,24.58,0.1303708525468147
2023,구로구,318007944,44831390,39425487,53574635,54124097,51135214,74917116,123058,216,20603,35426,30954,22518,13340,22591.0,23.67,0.547771005993274
2023,금천구,148430814,16598657,21409532,26946839,23872254,24861499,34742033,119524,288,20861,33492,28486,19890,16508,16591.0,24.45,4.07864240847979
2023,영등포구,437013613,52825786,64756040,85330084,74718627,67819143,91563935,328985,506,57509,107388,86604,54580,22398,33535.0,20.11,-2.8042770090843523
2023,동작구,333836816,50261053,61740159,54983487,50218244,44919869,71713999,40577,12,6286,10205,9776,8870,5426,17997.0,22.38,-2.4572107912270047
2023,관악구,516347566,56410149,122277663,98742834,73361098,64832667,100723159,41986,1,6023,10449,10336,9366,5811,25810.0,20.32,-3.648123339280004
2023,서초구,389202667,65310069,54840353,70255604,75265949,55340161,68190533,430840,702,75189,119981,110038,92184,32745,30976.0,21.25,-2.484920152759648
2023,강남구,578209971,93111741,93666957,117369639,115015067,75732260,83314305,897607,1958,179141,275324,229296,148391,63497,57471.0,19.26,-0.4483619796044523
2023,송파구,486901667,83747878,62633159,83772468,81742698,71669931,103335528,333883,360,48092,82616,86855,78006,37953,38790.0,22.88,0.0486517937116414
2023,강동구,429107241,72852013,50511858,66207564,70501690,64548872,104485246,49476,0,6207,10566,11532,11690,9482,23722.0,21.98,0.1904809291596727
2024,종로구,267886071,28760953,51915887,42884201,43232918,43389751,57702363,218395,1914,38864,64598,61548,38034,13437,29251.0,14.64,-1.2710323168039368
