기준년도,자치구명,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,1층 임대료,1층외 임대료,전체 임대료,전체점포수,프랜차이즈비율(%)
2020,관악구,546766748,60861340,126592994,101367956,76568179,67292429,114083852,40284,23,5988,9863,9826,8784,5800,126168,73971,100069,23569.0,19.51
2020,서초구,403552320,62736560,59280119,73781247,74754280,55368874,77631235,430680,1224,75722,120418,109422,91241,32653,140642,105319,122980,29954.0,20.73
2020,강남구,583759676,85209576,100268982,121334653,111184637,72733173,93028654,941487,2896,187174,288050,240040,156059,67267,172365,116919,144642,52794.0,19.77
2020,송파구,517546333,87012080,69676342,88915830,83774475,76713396,111454212,329967,562,47336,81130,85680,76876,38382,147456,101490,124473,34749.0,22.77
2020,강동구,452819298,76657393,55600976,69769888,71874743,69045929,109870375,51801,29,6690,11093,11899,12174,9916,123818,73359,98588,21851.0,20.47
2021,종로구,261640534,27517864,45971987,41627856,43608136,43476767,59437922,230085,2171,40753,67773,64621,40166,14601,202073,138708,170391,27786.0,15.09
2021,중구,227925477,17881815,37175827,45560932,41680826,37694282,47931796,418193,1437,91426,132084,103871,66642,22732,240657,212618,226638,25990.0,19.53
2021,용산구,262462178,31291581,41315697,52602673,45803034,37342046,54107146,148352,347,32123,44859,38093,25059,7870,142571,101132,121851,20999.0,14.36
2021,성동구,304550750,41940791,50714838,55014104,49423324,44546816,62910878,60786,122,10036,14798,14674,13024,8131,135184,103489,119336,19162.0,20.15
2021,광진구,373714987,54235152,69823945,63114453,57287831,54643009,74610598,51279,107,7829,10622,12639,13600,6481,126196,74036,100116,22497.0,20.69
2021,동대문구,420812272,55523985,78311593,61910041,61218627,60596263,103251763,52028,8,7785,11442,12312,11897,8584,117074,67333,92204,20911.0,18.39
2021,중랑구,411417120,57676362,55303185,62648648,61145031,68557715,106086180,21992,2,2422,4594,5769,5876,3329,107872,69376,88624,18453.0,18.18
2021,성북구,482183382,83301072,79070026,66851811,73251396,69026837,110682243,64475,287,8146,15560,18193,16291,5998,117082,69617,93350,19925.0,21.03
2021,강북구,401909375,56008367,54553256,51404580,60078971,64515995,115348205,16433,0,1364,2882,3961,4565,3662,104858,63102,83980,16721.0,17.65
2021,도봉구,269012447,41759124,33251619,34973432,39534452,43216279,76277539,19916,0,2105,3980,4980,5230,3621,102278,57782,80030,12916.0,18.59
2021,노원구,412795380,77139267,56132275,49432321,62361022,63793405,103937094,26685,2,3158,5340,6514,7031,4640,129693,67354,98524,19779.0,24.82
2021,은평구,409376606,66757494,52839433,61692055,64972866,61249537,101865220,28777,0,3315,5994,7222,7021,5225,112301,69496,90899,20597.0,20.27
2021,서대문구,371535697,53145930,65807955,61541183,60343131,53519973,77177524,36188,14,4366,7830,8860,10032,5087,130654,83478,107066,18729.0,20.18
2021,마포구,459153971,62988768,88892919,89587938,78627035,59052880,80004431,110998,100,21452,29990,27061,20478,11918,160672,109306,134989,40157.0,16.28
2021,양천구,324561212,68480710,38141014,44692088,54056176,48470403,70720820,75483,130,11586,18867,18720,16375,9805,125531,75068,100299,17454.0,23.24
2021,강서구,469789514,75624038,65152536,84556528,75469622,63697612,105289175,70518,27,9660,16720,17282,16643,10186,139412,84015,111713,29542.0,24.19
2021,구로구,317721890,45353172,40801787,52644125,53528621,49768716,75625470,119932,278,20502,34633,30145,21632,12741,117605,85428,101517,21366.0,22.69
2021,금천구,155088584,17496175,23075339,27382389,24631936,25787351,36715392,119845,317,20892,33390,28436,19968,16842,118458,95836,107146,15346.0,23.99
2021,영등포구,432000183,52832648,64453043,83695458,72087571,66921063,92010403,327232,564,57235,106483,85972,54409,22570,126360,86643,106502,31580.0,20.06
2021,동작구,345774220,50116667,60741876,58004166,51910023,46846047,78155437,49802,30,7952,12334,11623,10878,6987,145000,86647,115824,17525.0,23.01
2021,관악구,529345174,57725465,120980263,99612651,75547277,66314779,109164740,40359,8,5924,9928,9901,8856,5743,131412,79040,105226,24837.0,19.93
2021,서초구,395315632,64184135,55892983,71776190,75461667,55208439,72792222,436582,1040,76838,122269,111128,92222,33085,147268,107916,127592,30420.0,21.27
2021,강남구,564386284,86319137,92890100,115931174,110407894,72296433,86541549,956384,2635,190085,292723,243863,158614,68463,174165,122671,148418,54874.0,19.49
2021,송파구,505754516,85776713,67256365,87700350,83394174,74645148,106981764,339396,465,48596,83843,88456,78981,39055,179053,125123,152088,36462.0,22.76
2021,강동구,443510525,74309564,54322114,69402119,71512557,67359881,106604289,50997,6,6552,10948,11764,11993,9734,129545,74774,102159,22948.0,21.46
2022,종로구,272689230,29686391,50831921,42740468,44247667,44529504,60653278,225585,2068,39968,66503,63455,39419,14171,224345,166357,195351,28310.0,14.86
2022,중구,235948616,19597424,39996719,47061287,42970166,38424089,47898931,414351,1308,90197,131031,103112,66125,22578,262864,240947,251906,26418.0,19.24
2022,용산구,260199989,31916161,41801500,52413842,45169586,36856257,52042643,150290,289,32763,45670,38485,25174,7909,154042,118853,136448,22066.0,14.06
2022,성동구,299693827,40880455,51976414,54126881,48441931,43416436,60851713,62295,96,10382,15291,15080,13251,8195,164986,136134,150560,20102.0,19.53
2022,광진구,373943993,54529539,72146490,62864441,56909926,54014364,73479237,51290,80,7823,10696,12695,13570,6424,134125,90408,112267,23409.0,21.01
2022,동대문구,424842611,55934386,85699326,61691775,61168843,59948245,100400033,52152,0,7741,11514,12403,11947,8547,116628,73200,94914,21669.0,18.89
2022,중랑구,399315778,54935204,52989836,61518894,59759934,66764236,103347669,21218,1,2197,4412,5661,5754,3193,106597,67416,87007,19166.0,18.57
2022,성북구,477784315,83442699,81709125,66072786,71883115,68955008,105721583,63044,284,7918,15184,17772,15922,5964,122202,87300,104751,20556.0,21.22
2022,강북구,392047922,55047509,54146823,49979694,58523092,63613698,110737108,16380,0,1228,2781,3979,4643,3749,110378,72367,91372,17125.0,18.23
2022,도봉구,262991100,41411074,31692780,34245493,38600051,42468520,74573183,20190,0,2074,4039,5085,5374,3618,112072,67337,89705,13172.0,19.4
2022,노원구,392969150,73318263,53533674,47301858,58728296,60887740,99199315,29393,0,3449,5845,7166,7765,5168,137383,89690,113537,20228.0,25.38
2022,은평구,404062174,66078846,51804276,60668584,64449801,61041420,100019247,29970,0,3269,6142,7438,7352,5769,118611,87622,103116,21373.0,20.59
2022,서대문구,377060197,54738282,69973324,61637185,61094373,53883368,75733665,35974,4,4273,7674,8808,10200,5014,125068,103259,114164,19291.0,20.2
2022,마포구,461266102,63665518,93188894,89899878,78278234,58634710,77598869,110581,58,21232,29935,27026,20436,11895,179662,128201,153931,42105.0,16.3
2022,양천구,314496345,66257531,36151532,43623096,52853025,47250856,68360303,76978,106,11790,19264,19154,16734,9930,128088,83705,105896,18147.0,23.98
2022,강서구,458311729,73272404,63441990,83812116,75102283,61414255,101268686,69361,10,9324,16353,17115,16539,10020,143947,93140,118544,31125.0,24.44
2022,구로구,315829888,44618577,39750854,52918606,53565024,50461932,74514899,124966,242,20893,35720,31416,23067,13628,143342,105500,124421,22164.0,23.17
2022,금천구,153061425,17141193,22829715,27466529,24293420,25604320,35726245,119744,298,20850,33430,28471,19994,16701,114440,78069,96254,16205.0,24.68
2022,영등포구,437750450,53473754,64964256,85388650,73932328,68118405,91873058,328506,527,57437,106798,86291,54700,22753,129370,96377,112874,32537.0,20.0
2022,동작구,343149881,51106867,62149566,57184237,51532191,46173740,75003283,47834,22,7540,11899,11287,10463,6623,159689,117420,138554,17784.0,22.9
2022,관악구,525599606,56619832,122879646,99524238,74963155,65993444,105619292,41826,3,6042,10310,10303,9280,5887,136741,82210,109476,25479.0,20.28
2022,서초구,394008432,65811653,55859153,71161604,75607772,55224730,70343522,437306,863,76872,122403,111452,92527,33189,153524,114226,133875,30867.0,21.22
2022,강남구,574119915,90481101,94691606,117460751,113004647,74006536,84475274,935745,2304,186188,286970,238846,154821,66617,190098,140812,165455,56565.0,19.35
2022,송파구,499095319,85898409,64681311,87006507,83041844,73274670,105192580,350307,413,50068,86422,91150,81825,40429,188560,136998,162779,37864.0,22.94
2022,강동구,435543336,72981797,52163077,67751865,70706237,66031670,105908689,49302,1,6264,10585,11470,11562,9422,133906,85444,109674,23583.0,21.75
2023,종로구,272436494,29528380,51913155,43368857,43806909,44659274,59159920,219002,1977,39118,64695,61631,38106,13476,231237,166113,198676,28973.0,14.74
2023,중구,239052730,19960674,40341498,48320558,43556575,38844410,48029014,407205,1188,87944,129004,101678,65103,22288,297008,272198,284602,27269.0,19.08
2023,용산구,254500974,30700316,40578841,51492506,44874375,36523499,50331434,146010,236,31585,44408,37627,24464,7691,164745,116976,140860,23049.0,14.2
2023,성동구,294579622,39139332,52207046,53447463,48188761,42800099,58796927,64956,81,10816,15978,15748,13809,8525,212284,192242,202264,20986.0,18.61
2023,광진구,369607571,54841845,71702235,62122695,56089707,52590030,72261056,48716,63,7406,10156,12083,12923,6086,124589,88982,106786,23659.0,21.16
2023,동대문구,424754033,55943193,89352804,60875600,61923866,59559268,97099299,51933,0,7670,11485,12356,11873,8548,119743,67663,93703,22123.0,18.75
2023,중랑구,389600260,54280184,51340092,60675921,58591448,64709343,100003275,20282,0,2010,4212,5443,5585,3032,105747,65680,85714,19547.0,19.3
2023,성북구,479406889,84278163,83543439,65228574,71706767,70052885,104597061,60001,246,7374,14500,16983,15249,5648,124511,85172,104842,20940.0,21.38
2023,강북구,383042931,54473584,53883791,49107454,56900999,62426072,106251031,15844,0,1124,2680,3967,4599,3474,101348,65854,83601,17278.0,18.38
2023,도봉구,254734419,40130394,30483633,32977431,37415454,41507059,72220446,19666,0,1980,3932,4970,5316,3467,143368,102146,122756,13178.0,19.62
2023,노원구,383070443,70145004,52933509,46243661,57276223,59946989,96525055,29625,0,3477,5822,7177,7843,5307,140210,93570,116890,20460.0,25.37
2023,은평구,396012468,63659519,50998434,59537384,64231388,60717474,96868269,29574,0,3116,6101,7380,7306,5671,111358,78437,94898,21485.0,20.81
2023,서대문구,378980450,53370771,72114703,62465321,62490086,54067908,74471660,35865,0,4408,7822,8727,10219,4689,142025,119570,130797,19513.0,20.25
2023,마포구,463013119,63433867,94597473,90444207,78763479,59338545,76435549,106356,38,20514,28940,26038,19569,11257,165758,125628,145693,43453.0,15.98
2023,양천구,309438362,65772445,34568855,42409600,52160825,46680795,67845840,73501,86,11318,18467,18282,15922,9426,132978,96426,114702,18439.0,24.05
2023,강서구,455000174,72862948,62257530,83048765,75583677,61373508,99873744,59950,3,7855,13992,14863,14494,8745,151898,104196,128047,31765.0,24.58
2023,구로구,318007944,44831390,39425487,53574635,54124097,51135214,74917116,123058,216,20603,35426,30954,22518,13340,146394,119473,132933,22591.0,23.67
2023,금천구,148430814,16598657,21409532,26946839,23872254,24861499,34742033,119524,288,20861,33492,28486,19890,16508,124970,84099,104535,16591.0,24.45
2023,영등포구,437013613,52825786,64756040,85330084,74718627,67819143,91563935,328985,506,57509,107388,86604,54580,22398,134304,103143,118724,33535.0,20.11
2023,동작구,333836816,50261053,61740159,54983487,50218244,44919869,71713999,40577,12,6286,10205,9776,8870,5426,169801,105522,137662,17997.0,22.38
2023,관악구,516347566,56410149,122277663,98742834,73361098,64832667,100723159,41986,1,6023,10449,10336,9366,5811,139616,90797,115206,25810.0,20.32
2023,서초구,389202667,65310069,54840353,70255604,75265949,55340161,68190533,430840,702,75189,119981,110038,92184,32745,159647,116448,138047,30976.0,21.25
2023,강남구,578209971,93111741,93666957,117369639,115015067,75732260,83314305,897607,1958,179141,275324,229296,148391,63497,185359,159105,172232,57471.0,19.26
2023,송파구,486901667,83747878,62633159,83772468,81742698,71669931,103335528,333883,360,48092,82616,86855,78006,37953,169626,121610,145618,38790.0,22.88
2023,강동구,429107241,72852013,50511858,66207564,70501690,64548872,104485246,49476,0,6207,10566,11532,11690,9482,139790,98479,119134,23722.0,21.98
