자치구명,기준연도,1인가구비율,폐업점포비율
강남구,2020,0.2969880030172697,2.252337331192747
강남구,2021,0.3069150319552158,1.8388411045722046
강남구,2022,0.313706847668058,1.7896052083561675
강남구,2023,0.32640234574196836,2.0938301402926536
강동구,2020,0.27743102269469133,2.181943725185569
강동구,2021,0.2901258801156323,1.9397436608777674
강동구,2022,0.30464109636533276,2.0786821285358186
강동구,2023,0.31828818271116116,2.26928895612708
강북구,2020,0.3161351039021251,2.148214821482148
강북구,2021,0.33200106946739155,1.9869281045751634
강북구,2022,0.35055221537427933,1.9024494751124759
강북구,2023,0.3625173612007497,2.101680493512019
강서구,2020,0.3277548722785985,2.4090626643085895
강서구,2021,0.3537617813207067,2.2413716122695004
강서구,2022,0.3772082952485128,2.2262851311705427
강서구,2023,0.38926793201993104,2.659654395191585
관악구,2020,0.47941312855897467,2.3678245743503243
관악구,2021,0.4963209849561068,2.0877960476693316
관악구,2022,0.5297526681965541,2.1130366285939344
관악구,2023,0.5448977175890323,2.335894194301274
광진구,2020,0.37853906317642644,2.091995995052712
광진구,2021,0.3954724562463003,1.8494647761026735
광진구,2022,0.4149112369426523,1.9057920069222867
광진구,2023,0.42868972583969783,2.2431910787046965
구로구,2020,0.29248586589926734,1.959783353047376
구로구,2021,0.3046742955307417,1.8211539625840043
구로구,2022,0.32682386190463,1.8157261142756473
구로구,2023,0.33830480701459165,2.1875543698892304
금천구,2020,0.38052178602728026,2.2119158044951837
금천구,2021,0.40847711927981994,1.8002571795970852
금천구,2022,0.4407613531289799,1.91396968455551
금천구,2023,0.44905391702086345,2.3422417231751096
노원구,2020,0.25917940451834964,2.0443024789945143
노원구,2021,0.2779282437640632,2.009550070616719
노원구,2022,0.2888122047009546,1.9132162967870157
노원구,2023,0.2992779961326543,2.200392927308448
도봉구,2020,0.25380195458935617,1.920758818298587
도봉구,2021,0.27217296893088,1.7422729434141702
도봉구,2022,0.2857697534459328,1.823490628237732
도봉구,2023,0.29922482575243065,2.1676737160120845
동대문구,2020,0.37349403129870784,1.9569944431021986
동대문구,2021,0.3901660700733242,1.7884559038968648
동대문구,2022,0.4073706667304095,1.6864864864864866
동대문구,2023,0.421144780944948,1.9204450625869263
동작구,2020,0.35301406527078677,1.9626168224299065
동작구,2021,0.3702290904750019,1.9328540724820278
동작구,2022,0.3894972164042237,1.8203033838973162
동작구,2023,0.402960918046985,2.1934283055336814
마포구,2020,0.4142433020382001,2.227102601379566
마포구,2021,0.3766565158627342,1.8095832961541893
마포구,2022,0.39274077314355255,1.7559591373439274
마포구,2023,0.4032027196278404,2.0564792243008574
서대문구,2020,0.35422112980222775,2.0036602724869517
서대문구,2021,0.3652212413869441,1.8355742859054116
서대문구,2022,0.37557074466613166,1.6136156944263997
서대문구,2023,0.38735192857056655,1.9894615088034957
서초구,2020,0.25712262798495017,1.8900821225521163
서초구,2021,0.26518370551693876,1.7637479644244018
서초구,2022,0.2698716024293929,1.6663239708845665
서초구,2023,0.2830894467080749,1.8808674619767964
성동구,2020,0.31395258825654393,1.9368303882009181
성동구,2021,0.33100370433104787,1.8065359477124183
성동구,2022,0.3428015936724429,1.6617210682492582
성동구,2023,0.3564246410176153,1.8101984661319597
성북구,2020,0.33180091405730594,1.9342562823961684
성북구,2021,0.3331880639868745,1.7846701410957162
성북구,2022,0.34465750615258406,1.6425836729652956
성북구,2023,0.35387061982884244,2.045923946057587
송파구,2020,0.26415158588985915,2.2073179819658693
송파구,2021,0.2813063414772647,1.9528476068740235
송파구,2022,0.2927024034298207,1.9919117143052985
송파구,2023,0.3082673053231297,2.3694591161329144
양천구,2020,0.2217751402754756,2.109221969756327
양천구,2021,0.2380366806808803,1.922818541464507
양천구,2022,0.2520453550913693,2.0819137368611815
양천구,2023,0.26097000889179434,2.4078834618680376
영등포구,2020,0.36534841537260543,1.9570464307629372
영등포구,2021,0.3783769134035818,1.717635873871019
영등포구,2022,0.4009041238454534,1.664361456892577
영등포구,2023,0.4194042085794934,2.009630099660334
용산구,2020,0.33583136040794026,1.9168030704972625
용산구,2021,0.34889299548669106,1.6103202846975089
용산구,2022,0.36814563417321156,1.301413203965408
용산구,2023,0.38157599274249326,1.4885978662082215
은평구,2020,0.27887818210740956,2.020227720882896
은평구,2021,0.2921510743909913,1.9219292369526826
은평구,2022,0.3076926675680354,1.8900606846167443
은평구,2023,0.3214443285034981,2.364972083455774
종로구,2020,0.35198612809163043,1.6782505509408374
종로구,2021,0.3644224994995663,1.524245506951509
종로구,2022,0.37931540668579433,1.3227118081487015
종로구,2023,0.3957876557535198,1.5076312699890693
중구,2020,0.368142106919,1.8300653594771243
중구,2021,0.3872820512820513,1.524337764177106
중구,2022,0.39837475345167656,1.3835770528683915
중구,2023,0.4445649099651174,1.6404586033443604
중랑구,2020,0.31108656345660285,2.1635847357850264
중랑구,2021,0.32557175690441204,1.8650241737863433
중랑구,2022,0.34627826489474506,1.917211328976035
중랑구,2023,0.35919357804444957,2.2694136291600633
