자치구명,기준연도,1인가구_비중,1인가구비중_증가율,폐업_증가율,sh_closure_growth_ratio
강남구,2020,0.07424700075431742,0.027451151434024768,0.010165184243964509,0.37030083304138234
강남구,2021,0.07672875798880395,0.03342569005175888,-0.1484276729559748,-4.440526814140205
강남구,2022,0.0784267119170145,0.02212930292001225,0.00492368291482026,0.22249606924435078
강남구,2023,0.08160058643549209,0.040469304920445426,0.19010289073983344,4.697458755803634
강동구,2020,0.06935775567367283,0.08346705071703386,-0.07331378299120239,-0.8783559783338624
강동구,2021,0.07253147002890807,0.04575860802312448,-0.07805907172995785,-1.7058882492778205
강동구,2022,0.07616027409133319,0.05003075300940174,0.097254004576659,1.9438844855759638
강동구,2023,0.07957204567779029,0.044797259820331226,0.0948905109489051,2.118221322676506
강북구,2020,0.07903377597553128,0.058710169475782115,-0.04149933065595712,-0.7068508067086325
강북구,2021,0.08300026736684789,0.050187294512470615,-0.04469273743016755,-0.890518962305534
강북구,2022,0.08763805384356983,0.0558767655075576,-0.02631578947368418,-0.47096121678920094
강북구,2023,0.09062934030018742,0.03413227845014566,0.11261261261261257,3.299299599266336
강서구,2020,0.08193871806964963,0.06258632554048105,-0.0039525691699604515,-0.06315387803688709
강서구,2021,0.08844044533017667,0.07934865730997198,-0.003968253968253954,-0.05001034803591128
강서구,2022,0.0943020738121282,0.06627769071116929,0.04302788844621519,0.649206210785555
강서구,2023,0.09731698300498276,0.03197076237009333,0.21695951107715805,6.786185095170275
관악구,2020,0.11985328213974367,0.04952990274819613,0.015370705244122984,0.31033182766915046
관악구,2021,0.1240802462390267,0.035267820987618714,-0.07569011576135354,-2.1461523179423434
관악구,2022,0.13243816704913852,0.06735899600014661,0.033718689788053924,0.5005818345033013
관악구,2023,0.13622442939725807,0.028588906298550043,0.11929170549860202,4.172657192718568
광진구,2020,0.09463476579410661,0.044383305225542236,-0.05932203389830504,-1.3365844115675658
광진구,2021,0.09886811406157507,0.04473354196996482,-0.07094594594594594,-1.5859675496650985
광진구,2022,0.10372780923566308,0.04915331115814947,0.06787878787878787,1.3809606368203695
광진구,2023,0.10717243145992446,0.03320828088092953,0.18728717366628822,5.639773234206813
구로구,2020,0.07312146647481683,0.046312432816847604,-0.1733193277310925,-3.7423930722128276
구로구,2021,0.07616857388268543,0.04167185854947286,-0.044472681067344366,-1.0672113655441204
구로구,2022,0.0817059654761575,0.07269916333212079,0.027925531914893664,0.38412452956738885
구로구,2023,0.08457620175364791,0.035128845987726365,0.21992238033635192,6.2604498995836755
금천구,2020,0.09513044650682007,0.07670803953057659,-0.01273885350318471,-0.16606934007362914
금천구,2021,0.10211927981995499,0.07346578902721612,-0.15322580645161288,-2.0856756386955686
금천구,2022,0.11019033828224498,0.07903559912016567,0.11238095238095247,1.421902960589804
금천구,2023,0.11226347925521586,0.018814181037004163,0.2568493150684932,13.65189983892023
노원구,2020,0.06479485112958741,0.048079938262111765,-0.11538461538461542,-2.3998494913946566
노원구,2021,0.0694820609410158,0.07233923266609787,0.014945652173913082,0.2066050692422873
노원구,2022,0.07220305117523865,0.03916104671294551,-0.03346720214190091,-0.8546043824420458
노원구,2023,0.07481949903316358,0.03623735860656008,0.1634349030470914,4.5101218557774425
도봉구,2020,0.06345048864733904,0.06430018797695047,-0.13676731793960928,-2.127012723331943
도봉구,2021,0.06804324223272,0.07238326580757648,-0.057613168724279795,-0.7959459701284897
도봉구,2022,0.0714424383614832,0.04995641032414877,0.05676855895196509,1.1363618519348127
도봉구,2023,0.07480620643810766,0.04708361239862113,0.18595041322314043,3.9493658993035563
동대문구,2020,0.09337350782467696,0.027445778887569494,-0.11086717892425901,-4.039498364335801
동대문구,2021,0.09754151751833105,0.044638032679249484,-0.05802469135802468,-1.299893563297608
동대문구,2022,0.10184266668260238,0.04409557359473104,-0.028833551769331556,-0.6538876675997444
동대문구,2023,0.105286195236237,0.03381223867955607,0.16464237516869096,4.869313053448864
동작구,2020,0.08825351631769669,0.03536908011523887,-0.13774834437086092,-3.8945978782046877
동작구,2021,0.09255727261875048,0.04876583370979848,0.001536098310291889,0.03149947808609375
동작구,2022,0.09737430410105592,0.05204379241107415,-0.042944785276073594,-0.8251663317859129
동작구,2023,0.10074022951174624,0.03456687512957357,0.22756410256410264,6.583299812640887
마포구,2020,0.10356082550955002,0.1422401778643716,-0.010445299615173154,-0.07343424180144742
마포구,2021,0.09416412896568355,-0.0907360142952891,-0.15500000000000003,1.708252243652358
마포구,2022,0.09818519328588814,0.04270271879932119,0.017094017094017033,0.4003027810559163
마포구,2023,0.1008006799069601,0.02663829986519839,0.21331609566903675,8.007872001911188
서대문구,2020,0.08855528245055694,0.04882597116245524,-0.07625000000000004,-1.5616688861405081
서대문구,2021,0.09130531034673603,0.03105436310605758,-0.07171853856562926,-2.3094512780923715
서대문구,2022,0.09389268616653292,0.028337626913168767,-0.09475218658892126,-3.3436881246004764
서대문구,2023,0.09683798214264164,0.03136874762412045,0.24637681159420288,7.854212560426089
서초구,2020,0.06428065699623754,0.03509680441240248,-0.08854589764419174,-2.522904837823396
서초구,2021,0.06629592637923469,0.031351101204754483,-0.05882352941176472,-1.8762827189892763
서초구,2022,0.06746790060734822,0.017677922191017492,-0.04071969696969702,-2.303420986341229
서초구,2023,0.07077236167701872,0.04897827025776169,0.13228035538005933,2.7007967958831003
성동구,2020,0.07848814706413598,0.028024840413919394,-0.01555869872701554,-0.5551752836846784
성동구,2021,0.08275092608276197,0.05431111802324362,-0.007183908045977017,-0.13227324915135252
성동구,2022,0.08570039841811072,0.035642771325590905,-0.02749638205499272,-0.7714434381046791
성동구,2023,0.08910616025440382,0.039740326756443345,0.15029761904761907,3.7819925328935646
성북구,2020,0.08295022851432649,0.06029617813598054,-0.11097708082026536,-1.8405325884832824
성북구,2021,0.08329701599671863,0.004180669403849091,-0.0474898236092266,-11.359382678167114
성북구,2022,0.08616437653814601,0.03442332846041385,-0.05270655270655267,-1.5311288903153037
성북구,2023,0.08846765495721061,0.0267312143556786,0.2661654135338345,9.957101461695926
송파구,2020,0.06603789647246479,0.03637426005963862,-0.045132172791747305,-1.2407722581228968
송파구,2021,0.07032658536931617,0.06494284533486927,-0.0715732613099257,-1.1020961730405798
송파구,2022,0.07317560085745517,0.04051121596729823,0.05672727272727274,1.400285609127718
송파구,2023,0.07706682633078242,0.05317654283300377,0.21954576737783893,4.128620547358691
양천구,2020,0.0554437850688689,0.0678462325862843,-0.10026737967914434,-1.4778621576611204
양천구,2021,0.059509170170220074,0.07332445099665175,-0.043090638930163405,-0.5876708020920753
양천구,2022,0.06301133877284233,0.05885090638307755,0.11490683229813659,1.9525074354874812
양천구,2023,0.06524250222294858,0.03540891994295925,0.1740947075208914,4.916690703962254
영등포구,2020,0.09133710384315136,0.0608951939413962,-0.11994113318616628,-1.969632173297522
영등포구,2021,0.09459422835089545,0.035660474995324876,-0.09364548494983282,-2.626030218669545
영등포구,2022,0.10022603096136334,0.05953642953327787,-0.0009225092250922939,-0.015494869818766301
영등포구,2023,0.10485105214487335,0.04614590779607863,0.24284395198522613,5.262524101993339
용산구,2020,0.08395784010198507,0.025251637366934254,0.08152866242038215,3.2286485520000308
용산구,2021,0.08722324887167276,0.03889343467770434,-0.1472320376914017,-3.7855241870886362
용산구,2022,0.09203640854330289,0.05518207282913168,-0.14779005524861877,-2.6782258743023792
용산구,2023,0.09539399818562332,0.03648110237527025,0.19286871961102103,5.286811720409046
은평구,2020,0.06971954552685239,0.07794147866177847,-0.14347357065803668,-1.840785844988008
은평구,2021,0.07303776859774783,0.04759387121388259,-0.006297229219143552,-0.13231176742997788
은평구,2022,0.07692316689200886,0.05319711115025538,0.016476552598225558,0.30972645397392895
은평구,2023,0.08036108212587452,0.04469284576767474,0.254364089775561,5.6913827125221115
종로구,2020,0.08799653202290761,0.0440131698229147,-0.06867356538099723,-1.5602958309365738
종로구,2021,0.09110562487489157,0.03533199298325296,-0.09191919191919196,-2.6015852534206267
종로구,2022,0.09482885167144858,0.04086714515892775,-0.11345939933259175,-2.7762986352817367
종로구,2023,0.09894691393837995,0.043426258932240724,0.16813048933500618,3.8716318989702785
중구,2020,0.09203552672975,-0.013921745365728544,0.11123986095017391,-7.990367445163552
중구,2021,0.09682051282051282,0.051990641666161075,-0.16892596454640252,-3.249160986146294
중구,2022,0.09959368836291914,0.02864243807040423,-0.07402760351317439,-2.584542675145588
중구,2023,0.11114122749127935,0.11594649538714741,0.22628726287262868,1.9516524593266187
중랑구,2020,0.07777164086415071,0.06993817891508791,-0.034610630407911014,-0.4948746299204023
중랑구,2021,0.08139293922610301,0.046563224354207344,-0.09859154929577463,-2.1173694619124057
중랑구,2022,0.08656956622368626,0.0636004430704118,0.0625,0.9826975565375622
중랑구,2023,0.08979839451111239,0.03729749874318644,0.196524064171123,5.269095000828287
