기준년도,자치구명,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수
2023,마포구,463013119,63433867,94597473,90444207,78763479,59338545,76435549
2023,양천구,309438362,65772445,34568855,42409600,52160825,46680795,67845840
2023,강서구,455000174,72862948,62257530,83048765,75583677,61373508,99873744
2023,구로구,318007944,44831390,39425487,53574635,54124097,51135214,74917116
2023,금천구,148430814,16598657,21409532,26946839,23872254,24861499,34742033
2023,영등포구,437013613,52825786,64756040,85330084,74718627,67819143,91563935
2023,동작구,333836816,50261053,61740159,54983487,50218244,44919869,71713999
2023,관악구,516347566,56410149,122277663,98742834,73361098,64832667,100723159
2023,서초구,389202667,65310069,54840353,70255604,75265949,55340161,68190533
2023,강남구,578209971,93111741,93666957,117369639,115015067,75732260,83314305
2023,송파구,486901667,83747878,62633159,83772468,81742698,71669931,103335528
2023,강동구,429107241,72852013,50511858,66207564,70501690,64548872,104485246
