기준연도,자치구명,총_가구_수,1인_가구_수,점포_수,폐업_점포_수,1인가구_비중,1인가구비중_증가율,폐업_증가율,sh_closure_growth_ratio
2021,강북구,583468,48428,315.0,822,0.08300026736684789,0.050187294512470615,-0.05841924398625431,-1.1640245714328794
2022,강북구,583468,51134,321.3970588235294,815,0.08763805384356983,0.0558767655075576,-0.008515815085158196,-0.15240350810940176
2023,강북구,581037,52659,322.3970588235294,907,0.09062934030018742,0.03413227845014566,0.1128834355828221,3.307234111186046
2024,강북구,573744,53705,316.88235294117646,1005,0.09360446470899914,0.03282738679281283,0.10804851157662632,3.2914137289868672
2025,강북구,573744,54772,305.2352941176471,876,0.0954641791461,0.019867796294572138,-0.12835820895522387,-6.460616318594489
2019,강서구,1029288,79371,525.5588235294117,1551,0.07711252827197053,,,
2020,강서구,1051664,86172,553.1911764705883,1508,0.08193871806964963,0.06258632554048105,-0.027724049000644735,-0.4429729459466785
2021,강서구,1067792,94436,586.4705882352941,1537,0.08844044533017667,0.07934865730997198,0.019230769230769162,0.24235784048172387
2022,강서구,1067792,100695,611.1764705882352,1582,0.0943020738121282,0.06627769071116929,0.029277813923227036,0.44174462943822906
2023,강서구,1073903,104509,620.2058823529412,1919,0.09731698300498276,0.03197076237009333,0.2130214917825537,6.663009449590796
2024,강서구,1092236,106748,626.4264705882352,1886,0.09773345687195807,0.004279559991640758,-0.01719645648775403,-4.018276767084415
2025,강서구,1092236,109035,610.1323529411765,1801,0.09982732669496336,0.021424288979652983,-0.045068928950159015,-2.1036370911987676
2019,관악구,1049615,119863,425.2647058823529,1301,0.11419711036904008,,,
2020,관악구,1078260,129233,441.79411764705884,1302,0.11985328213974367,0.04952990274819613,0.000768639508070823,0.015518696089077556
2021,관악구,1098120,136255,462.72058823529414,1235,0.1240802462390267,0.035267820987618714,-0.051459293394777283,-1.4591004477663314
2022,관악구,1098120,145433,471.05882352941177,1281,0.13243816704913852,0.06735899600014661,0.03724696356275303,0.5529619764919294
2023,관악구,1106593,150745,474.75,1400,0.13622442939725807,0.028588906298550043,0.09289617486338808,3.2493784089984423
2024,관악구,1132012,153605,477.04411764705884,1508,0.13569202446617173,-0.003908292612727626,0.07714285714285718,-19.738250122735465
2025,관악구,1132012,156519,457.1470588235294,1379,0.13826620212506582,0.018970736629667195,-0.08554376657824936,-4.509248546757673
2019,광진구,647964,58714,376.27941176470586,1108,0.09061305875017749,,,
2020,광진구,658331,62301,392.02941176470586,1048,0.09463476579410661,0.044383305225542236,-0.054151624548736454,-1.2200899476403264
2021,광진구,668972,66140,410.7647058823529,993,0.09886811406157507,0.04473354196996482,-0.0524809160305344,-1.173189372434925
2022,광진구,668972,69391,424.1029411764706,1043,0.10372780923566308,0.04915331115814947,0.05035246727089637,1.0243962427859366
2023,광진구,671432,71959,427.19117647058823,1198,0.10717243145992446,0.03320828088092953,0.14860977948226273,4.475081983771242
2024,광진구,678812,72933,424.38235294117646,1225,0.10744211946754036,0.00251639347864141,0.022537562604340478,8.956295108707884
2025,광진구,678812,73920,414.04411764705884,1140,0.10889613029822691,0.013532968615030283,-0.06938775510204087,-5.127312201476321
2019,구로구,683123,47740,388.25,1174,0.06988492555513429,,,
2020,구로구,697073,50971,399.25,974,0.07312146647481683,0.046312432816847604,-0.17035775127768316,-3.6784453097378673
2021,구로구,721820,54980,415.7647058823529,927,0.07616857388268543,0.04167185854947286,-0.04825462012320325,-1.1579665943124502
2022,구로구,721820,58977,428.77941176470586,984,0.0817059654761575,0.07269916333212079,0.06148867313915862,0.845796159417298
2023,구로구,725003,61318,434.05882352941177,1173,0.08457620175364791,0.035128845987726365,0.19207317073170738,5.467676643827573
2024,구로구,734552,62632,430.8235294117647,1241,0.08526557684139448,0.008150934582692226,0.05797101449275366,7.112192338759518
2025,구로구,734552,63974,416.5,1100,0.08709254075953779,0.021426746710946576,-0.11361804995970992,-5.302627201994427
2019,금천구,427580,37778,296.11764705882354,779,0.08835305673792039,,,
2020,금천구,445010,42334,306.47058823529414,770,0.09513044650682007,0.07670803953057659,-0.011553273427471145,-0.15061359276254083
2021,금천구,458552,46827,317.9264705882353,689,0.10211927981995499,0.07346578902721612,-0.10519480519480517,-1.4318883195528564
2022,금천구,458552,50528,330.77941176470586,696,0.11019033828224498,0.07903559912016567,0.010159651669085612,0.12854526039131917
2023,금천구,463490,52033,336.1764705882353,896,0.11226347925521586,0.018814181037004163,0.28735632183908044,15.273389858102323
2024,금천구,478304,53858,337.25,935,0.11260202716264134,0.003015654865424544,0.04352678571428581,14.433609831593943
2025,금천구,478304,55747,330.6470588235294,811,0.11655139827390111,0.03507371235471046,-0.13262032085561493,-3.7811885868934483
2019,노원구,863198,53365,346.20588235294116,1005,0.06182243239673864,,,
2020,노원구,871026,56438,359.2352941176471,881,0.06479485112958741,0.048079938262111765,-0.12338308457711444,-2.56620721733213
2021,노원구,872844,60647,371.3382352941176,917,0.0694820609410158,0.07233923266609787,0.04086265607264483,0.5648754426420023
2022,노원구,872844,63022,377.9264705882353,865,0.07220305117523865,0.03916104671294551,-0.0567066521264995,-1.4480371922171813
2023,노원구,872433,65275,381.0,1037,0.07481949903316358,0.03623735860656008,0.19884393063583805,5.487263373546249
2024,노원구,871200,67182,380.02941176470586,1061,0.07711432506887052,0.030671496940787524,0.02314368370298947,0.7545664871743698
2025,노원구,871200,69145,368.55882352941177,897,0.07936753902662994,0.029219136078116215,-0.15457115928369458,-5.290066033111131
2019,도봉구,547712,32653,236.64705882352942,675,0.05961709803692451,,,
2020,도봉구,549783,34884,243.66176470588235,577,0.06345048864733904,0.06430018797695047,-0.1451851851851852,-2.257927849872373
2021,도봉구,556308,37853,253.60294117647058,579,0.06804324223272,0.07238326580757648,0.0034662045060658286,0.047886821178811954
2022,도봉구,556308,39744,258.3970588235294,583,0.0714424383614832,0.04995641032414877,0.006908462867012188,0.13828981750661656
2023,도봉구,555101,41525,258.97058823529414,739,0.07480620643810766,0.04708361239862113,0.26758147512864494,5.683112690318579
2024,도봉구,551480,43347,256.5,667,0.0786012185392036,0.050731246534146957,-0.09742895805142082,-1.9204920972293054
2025,도봉구,551480,45249,247.66176470588235,624,0.0820501196779575,0.04387846909820747,-0.0644677661169415,-1.469234625589413
2019,동대문구,639882,58152,439.0882352941176,1163,0.0908792558627997,,,
2020,동대문구,652487,60925,450.25,1076,0.09337350782467696,0.027445778887569494,-0.07480653482373167,-2.7256116552630396
2021,동대문구,669356,65290,463.05882352941177,1031,0.09754151751833105,0.044638032679249484,-0.04182156133828996,-0.9369042233290716
2022,동대문구,669356,68169,474.54411764705884,933,0.10184266668260238,0.04409557359473104,-0.09505334626576145,-2.1556210412266714
2023,동대문구,673963,70959,479.1029411764706,1100,0.105286195236237,0.03381223867955607,0.1789924973204715,5.293719206729009
