연도,분기,자치구,전체_점포수,프랜차이즈_점포수,프랜차이즈_비율(%)
2025,3분기,서초구,7716,1614,20.92
2025,3분기,성동구,5214,891,17.09
2025,3분기,성북구,5115,1095,21.41
2025,3분기,송파구,9408,2094,22.26
2025,3분기,양천구,4312,989,22.94
2025,3분기,영등포구,8461,1628,19.24
2025,3분기,용산구,5781,800,13.84
2025,3분기,은평구,5021,1008,20.08
2025,3분기,종로구,7272,1055,14.51
2025,3분기,중구,6991,1273,18.21
2025,3분기,중랑구,4738,911,19.23
2025,4분기,강남구,13915,2549,18.32
2025,4분기,강동구,5773,1272,22.03
2025,4분기,강북구,3998,715,17.88
2025,4분기,강서구,7752,1793,23.13
2025,4분기,관악구,6128,1212,19.78
2025,4분기,광진구,5688,1100,19.34
2025,4분기,구로구,5332,1199,22.49
2025,4분기,금천구,4056,965,23.79
2025,4분기,노원구,4900,1229,25.08
2025,4분기,도봉구,3105,611,19.68
2025,4분기,동대문구,5340,948,17.75
2025,4분기,동작구,4345,971,22.35
2025,4분기,마포구,10504,1584,15.08
2025,4분기,서대문구,4688,891,19.01
2025,4분기,서초구,7708,1578,20.47
2025,4분기,성동구,5182,875,16.89
2025,4분기,성북구,5081,1070,21.06
2025,4분기,송파구,9276,2028,21.86
2025,4분기,양천구,4270,965,22.6
2025,4분기,영등포구,8421,1584,18.81
2025,4분기,용산구,5781,786,13.6
2025,4분기,은평구,4962,981,19.77
2025,4분기,종로구,7265,1020,14.04
2025,4분기,중구,6962,1240,17.81
2025,4분기,중랑구,4718,900,19.08
