자치구별(1),자치구별(2),시점,소계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
합계,도봉구,2019,32653,159,1509,2452,2299,2371,2070,2713,2663,3102,3457,2595,2395,2231,1607,1030
합계,도봉구,2020,34884,196,1612,2816,2536,2427,2217,2632,2814,3193,3735,2957,2604,2273,1748,1124
합계,도봉구,2021,37853,151,1671,3288,3056,2547,2409,2637,3017,3207,4040,3472,2768,2328,1934,1328
합계,도봉구,2022,39744,191,1636,3452,3431,2557,2472,2633,3182,3226,4130,3888,2897,2390,2179,1480
합계,도봉구,2023,41525,171,1619,3458,3713,2582,2653,2465,3266,3344,4253,4361,3000,2640,2338,1662
합계,도봉구,2024,43347,163,1714,3556,3919,2726,2620,2420,3339,3507,4228,4709,3250,2850,2446,1900
합계,노원구,2019,53365,724,5509,4848,3449,3391,2985,3656,3507,4065,4932,4195,4048,3753,2608,1695
합계,노원구,2020,56438,590,5554,5204,3900,3530,3164,3700,3764,4025,5269,4757,4359,3924,2779,1919
합계,노원구,2021,60647,644,5683,5680,4716,3803,3421,3613,3983,4190,5615,5444,4531,4027,3186,2111
합계,노원구,2022,63022,806,5846,5659,5066,3745,3562,3572,4096,4159,5791,5772,4770,4180,3574,2424
합계,노원구,2023,65275,710,6036,5739,5177,3721,3712,3414,4369,4217,5778,6322,5028,4516,3742,2794
합계,노원구,2024,67182,748,6086,5727,5289,3904,3679,3419,4402,4449,5671,6676,5311,4822,3926,3073
합계,은평구,2019,52814,251,2539,6610,5708,4901,3679,4184,3602,4112,4555,3532,3280,2880,1904,1077
합계,은평구,2020,57853,235,2967,7707,6490,5182,3982,4294,3853,4116,5007,3999,3615,3054,2126,1226
합계,은평구,2021,62447,190,3117,8772,7300,5363,4294,4228,4239,4198,5353,4579,3767,3256,2353,1438
합계,은평구,2022,65769,231,3179,9245,8161,5273,4595,4174,4538,4153,5528,4995,3933,3413,2713,1638
합계,은평구,2023,68850,226,3214,9617,8852,5450,4821,3998,4752,4308,5479,5495,4184,3614,2957,1883
합계,은평구,2024,70568,199,3106,9609,9371,5444,4780,3903,4781,4479,5481,5895,4386,3886,3093,2155
합계,서대문구,2019,46449,744,8292,8485,4713,3337,2480,2673,2282,2444,2661,2104,2015,1923,1475,821
합계,서대문구,2020,49863,988,8945,8982,5420,3587,2629,2682,2465,2522,2744,2323,2138,1954,1539,945
합계,서대문구,2021,52792,857,8953,9992,5910,3773,2823,2661,2755,2542,2914,2642,2195,2017,1691,1067
합계,서대문구,2022,54288,857,8651,10155,6389,3814,2999,2640,2912,2560,3039,2800,2225,2124,1871,1252
합계,서대문구,2023,56170,684,9158,10344,6825,3900,3121,2552,2966,2557,3105,3045,2300,2253,1954,1406
합계,서대문구,2024,56770,646,8928,10386,6990,3952,3137,2519,2995,2667,3044,3247,2371,2325,1977,1586
합계,마포구,2019,59248,554,6608,12239,9331,6562,4275,3934,2794,2502,2501,1971,2013,1861,1302,801
합계,마포구,2020,63172,663,6993,13204,10088,6872,4516,4053,2967,2576,2671,2199,2099,1922,1416,933
합계,마포구,2021,67162,485,7144,14365,11063,7085,4835,4016,3286,2652,2923,2547,2212,2002,1488,1059
합계,마포구,2022,70030,609,7224,14806,11922,7179,5116,4075,3544,2723,2928,2663,2298,2035,1687,1221
합계,마포구,2023,72112,613,7316,14809,12645,7247,5309,4000,3788,2838,2974,2872,2333,2163,1823,1382
합계,마포구,2024,73327,586,7078,14822,13126,7410,5429,3951,3883,2952,2989,3070,2310,2290,1908,1523
합계,양천구,2019,36345,142,1182,3314,3489,3174,2653,2929,2797,3252,3668,2865,2472,1971,1447,990
합계,양천구,2020,39436,144,1250,4031,3987,3344,2695,2967,2853,3346,3972,3382,2698,2109,1587,1071
합계,양천구,2021,42973,131,1399,4537,4725,3528,2961,2880,3102,3363,4305,3859,3013,2258,1689,1223
합계,양천구,2022,45502,145,1435,4819,5233,3591,3111,2903,3225,3417,4412,4197,3304,2440,1896,1374
합계,양천구,2023,47106,128,1328,4800,5396,3588,3216,2829,3336,3464,4574,4647,3474,2712,2078,1536
합계,양천구,2024,47886,122,1205,4692,5601,3600,3204,2785,3317,3480,4441,4883,3759,2950,2135,1712
합계,강서구,2019,79371,325,4108,13600,11648,8271,5633,5369,4560,5115,5906,4447,3815,2984,2097,1493
합계,강서구,2020,86172,336,4442,15643,13177,8898,5919,5333,4775,5080,6275,5142,4101,3138,2226,1687
합계,강서구,2021,94436,252,4754,17660,15371,9413,6507,5508,5121,5118,6609,6023,4356,3357,2528,1859
합계,강서구,2022,100695,255,4867,18823,17283,9817,6981,5654,5351,5133,6771,6500,4751,3608,2765,2136
합계,강서구,2023,104509,225,4736,18744,18347,10012,7425,5604,5691,5255,6769,7269,5072,4040,3002,2318
합계,강서구,2024,106748,228,4548,18337,18893,10420,7433,5625,5763,5476,6639,7672,5554,4430,3180,2550
합계,구로구,2019,47740,232,2609,7184,5957,4424,3317,3687,3283,3553,3699,2833,2616,2066,1466,814
합계,구로구,2020,50971,232,2675,7671,6607,4631,3457,3812,3447,3668,3952,3271,2785,2187,1610,966
합계,구로구,2021,54980,184,2874,8488,7517,4837,3657,3748,3675,3765,4265,3728,2989,2373,1752,1128
합계,구로구,2022,58977,211,3107,9425,8557,5001,3999,3648,3796,3699,4382,4087,3175,2547,2036,1307
합계,구로구,2023,61318,207,3046,9614,9076,5175,4082,3461,3969,3826,4514,4524,3386,2798,2181,1459
합계,구로구,2024,62632,226,2723,9545,9316,5463,4154,3436,4020,3874,4523,4765,3622,3082,2254,1629
합계,금천구,2019,37778,138,1881,6120,4790,3370,2326,2887,2966,3339,3048,2186,1762,1531,923,511
합계,금천구,2020,42334,139,2288,7518,5718,3615,2607,2842,3178,3427,3383,2470,1957,1565,1006,621
합계,금천구,2021,46827,116,2512,8913,6729,3975,2859,2805,3281,3545,3713,2824,2106,1598,1160,691
합계,금천구,2022,50528,112,2651,9872,7843,4226,3095,2659,3391,3517,3968,3063,2232,1748,1363,788
합계,금천구,2023,52033,116,2489,10154,8573,4271,3308,2604,3289,3398,4001,3329,2320,1836,1449,896
합계,금천구,2024,53858,128,2448,10350,9171,4525,3255,2526,3221,3524,4010,3668,2486,1989,1532,1025
합계,영등포구,2019,58214,251,3277,11754,9638,5907,3781,3938,3298,3604,3507,2634,2352,2014,1378,881
합계,영등포구,2020,64000,189,3622,13418,11074,6350,4144,4066,3583,3674,3844,2955,2513,2048,1497,1023
합계,영등포구,2021,69806,165,3933,14988,12489,7036,4535,4025,3922,3751,4117,3381,2672,2103,1566,1123
합계,영등포구,2022,73962,195,4330,15798,13937,7277,4850,3993,4145,3608,4127,3611,2795,2175,1809,1312
합계,영등포구,2023,77895,184,4239,16830,15116,7597,5185,3891,4248,3779,4217,4009,2897,2357,1940,1406
합계,영등포구,2024,79698,156,3963,16801,16083,8053,5197,3855,4235,3828,4189,4149,3033,2597,2012,1547
합계,동작구,2019,60088,891,7837,13256,8329,5228,3396,3325,2775,2804,3060,2575,2396,1983,1383,850
합계,동작구,2020,64101,1261,8592,14153,9131,5246,3606,3322,2849,2774,3244,2813,2585,2055,1488,982
