기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,일반_점포_수,전체_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20261,11740,강동구,CS200007,치과의원,248,248,1.2,3,1.6,4,0
20261,11740,강동구,CS200006,일반의원,541,541,0.9,5,0.6,3,0
20261,11740,강동구,CS200005,스포츠 강습,406,428,1.9,8,2.6,11,22
20261,11740,강동구,CS200004,컴퓨터학원,11,11,0,0,0,0,0
20261,11740,강동구,CS200003,예술학원,495,527,1.3,7,1.7,9,32
20261,11740,강동구,CS200002,외국어학원,121,124,8.9,11,4,5,3
20261,11740,강동구,CS200001,일반교습학원,1305,1462,2.5,36,3,44,157
20261,11740,강동구,CS100010,커피-음료,679,931,2.7,25,3,28,252
20261,11740,강동구,CS100009,호프-간이주점,488,560,1.8,10,3.8,21,72
20261,11740,강동구,CS100008,분식전문점,345,493,3,15,5.9,29,148
20261,11740,강동구,CS100007,치킨전문점,96,272,4,11,4,11,176
20261,11740,강동구,CS100006,패스트푸드점,99,253,1.6,4,5.1,13,154
20261,11740,강동구,CS100005,제과점,244,331,2.1,7,2.4,8,87
20261,11740,강동구,CS100004,양식음식점,169,208,2.9,6,5.8,12,39
20261,11740,강동구,CS100003,일식음식점,201,229,2.2,5,3.1,7,28
20261,11740,강동구,CS100002,중식음식점,149,181,5.5,10,4.4,8,32
20261,11740,강동구,CS100001,한식음식점,1986,2257,3.1,69,3.6,81,271
20261,11710,송파구,CS300043,전자상거래업,1181,1183,0.1,1,5.1,60,2
20261,11710,송파구,CS300042,주유소,70,70,4.3,3,4.3,3,0
20261,11710,송파구,CS300041,예술품,80,80,3.8,3,1.3,1,0
20261,11710,송파구,CS300040,재생용품 판매점,50,50,0,0,2,1,0
20261,11710,송파구,CS300039,모터사이클및부품,39,39,7.7,3,2.6,1,0
20261,11710,송파구,CS300038,자동차부품,230,230,0.4,1,0.9,2,0
20261,11710,송파구,CS300037,중고차판매,16,16,0,0,0,0,0
20261,11710,송파구,CS300036,조명용품,566,566,0.4,2,1.1,6,0
20261,11710,송파구,CS300035,인테리어,253,253,1.2,3,1.6,4,0
20261,11710,송파구,CS300034,악기,34,34,2.9,1,0,0,0
20261,11710,송파구,CS300033,철물점,129,129,1.6,2,0.8,1,0
20261,11710,송파구,CS300032,가전제품,152,152,0,0,2,3,0
20261,11710,송파구,CS300031,가구,258,258,0.4,1,0.8,2,0
20261,11710,송파구,CS300030,중고가구,4,4,0,0,0,0,0
20261,11710,송파구,CS300029,애완동물,206,218,4.6,10,1.4,3,12
20261,11710,송파구,CS300028,화초,404,407,1.2,5,2.2,9,3
20261,11710,송파구,CS300027,섬유제품,189,189,4.8,9,1.6,3,0
20261,11710,송파구,CS300026,완구,59,59,3.4,2,1.7,1,0
20261,11710,송파구,CS300025,자전거 및 기타운송장비,63,63,1.6,1,0,0,0
20261,11710,송파구,CS300024,운동/경기용품,332,332,2.1,7,1.8,6,0
